"","t","df","p-value","Mean Difference","Lower CI 95%","Upper CI 95%"
"Acacon",-3.37762903247115,29,0.0158903442876646,-0.0446666666666667,-0.0717133286309295,-0.0176200047024038
"Acaame",-3.24209064395045,29,0.0158903442876646,-0.160666666666667,-0.262021090480347,-0.0593122428529864
"Acaobp",-1.07473238821628,29,0.434109317354925,-0.286,-0.830261700925162,0.258261700925162
"Sterile.sp",-1,29,0.434109317354925,-0.002,-0.00609045928426541,0.00209045928426541
"Brown.cr",NA,29,NA,0,NA,NA
"Lobalp",-2.04136116971494,29,0.201627766468863,-0.00466666666666667,-0.00934217687927255,8.84354593921506e-06
"Canros",-3.58188395217395,29,0.0158903442876646,-0.383666666666667,-0.602737538264465,-0.164595795068868
"Calare",-1.60760700096192,29,0.256285091602376,-0.0306666666666667,-0.0696814107269628,0.00834807739362948
"Phydub",-1.92261882014654,29,0.206077689947576,-0.105333333333333,-0.217384070265971,0.00671740359930417
"Rhichr",-1.58032877320195,29,0.256285091602376,-0.231,-0.529955543519854,0.0679555435198541
"Xanlin",-0.616975595925436,29,0.667156798954014,-0.226666666666667,-0.978050333397799,0.524717000064466
"Xanpli",-0.259820680385081,29,0.849960391782703,-0.0276666666666667,-0.245450280664625,0.190116947331292
"Xanele",-1.56623195124043,29,0.256285091602376,-0.0473333333333333,-0.10914252852796,0.0144758618612935
"GrBr.cr",1,29,0.434109317354925,0.00133333333333333,-0.0013936395228436,0.00406030618951027
"Gray.cr",0.109266049511992,29,0.913744063655899,0.000333333333333333,-0.00590596256039631,0.00657262922706298
"Synrur",0.362847442209734,29,0.822114488044605,0.022,-0.102005427330287,0.146005427330287
"Cerpur.Bryarg",-1.23568207703199,29,0.402654812555868,-0.0173333333333333,-0.0460224660716262,0.0113557994049595
