"label","est_sig","se","pval"
"light.ON.crown","-0.0372","0.1824","0.8386"
"litter.ON.crown","0.5207***","0.1559","0.0008"
"rock.lg.ON.litter","-0.9028***","0.0785","0.0000"
"l.abundance.ON.light","0.0369","0.1544","0.8113"
"l.abundance.ON.rock.lg","0.5276***","0.1544","0.0006"
"l.richness.ON.light","0.1682","0.1138","0.1394"
"l.richness.ON.rock.lg","0.7416***","0.1138","0.0000"
"l.diversity.ON.light","0.1972","0.1221","0.1063"
"l.diversity.ON.rock.lg","0.6911***","0.1221","0.0000"
"l.axis1.ON.light","0.0515","0.1610","0.7491"
"l.axis1.ON.rock.lg","0.4624**","0.1610","0.0041"
"l.axis2.ON.light","0.1738","0.1799","0.3339"
"l.axis2.ON.rock.lg","-0.0233","0.1799","0.8969"
"l.abundance.WITH.l.R","0.2278*","0.1019","0.0253"
"l.abundance.WITH.l.D","-0.0346","0.1000","0.7293"
"l.richness.WITH.l.D","0.2968**","0.0913","0.0012"
"l.abundance.WITH.l.axis1","0.6773***","0.1806","0.0002"
"l.richness.WITH.l.axis1","0.2413*","0.1065","0.0235"
"Variances.light","0.9653***","0.2492","0.0001"
"Variances.litter","0.7046***","0.1819","0.0001"
"Variances.rock.lg","0.1789***","0.0462","0.0001"
"Variances.l.A","0.6912***","0.1785","0.0001"
"Variances.l.R","0.3753***","0.0969","0.0001"
"Variances.l.D","0.4320***","0.1116","0.0001"
"Variances.l.axis1","0.7512***","0.1940","0.0001"
"Variances.l.axis2","0.9380***","0.2422","0.0001"
"l.abundance.WITH.l.axis2","-0.0980","0.1481","0.5080"
"l.richness.WITH.l.axis2","0.0950","0.1097","0.3863"
"l.diversity.WITH.l.axis1","-0.0280","0.1041","0.7882"
"l.diversity.WITH.l.axis2","0.1065","0.1178","0.3663"
"l.axis1.WITH.l.axis2","0.1537","0.1558","0.3238"
"Variances.crown","0.9667","0.0000",NA
"p.abundance.ON.light","-0.0294","0.1810","0.8712"
"p.abundance.ON.litter","0.1224","0.1810","0.4990"
"p.richness.ON.light","0.1073","0.1808","0.5527"
"p.richness.ON.litter","-0.0745","0.1808","0.6804"
"p.diversity.ON.light","-0.0730","0.1790","0.6835"
"p.diversity.ON.litter","0.1731","0.1790","0.3334"
"p.axis1.ON.light","-0.1581","0.1711","0.3557"
"p.axis1.ON.litter","0.2849","0.1711","0.0960"
"p.axis2.ON.light","0.1276","0.1812","0.4814"
"p.axis2.ON.litter","0.0219","0.1812","0.9039"
"p.axis3.ON.light","-0.0106","0.1826","0.9536"
"p.axis3.ON.litter","-0.0018","0.1826","0.9920"
"p.abundance.WITH.p.axis2","-0.5261**","0.1984","0.0080"
"p.abundance.WITH.p.R","0.4963*","0.1955","0.0111"
"p.abundance.WITH.p.D","0.3908*","0.1857","0.0354"
"p.richness.WITH.p.D","0.8365***","0.2294","0.0003"
"p.abundance.WITH.p.axis1","0.3836*","0.1783","0.0315"
"p.richness.WITH.p.axis1","0.1329","0.1656","0.4220"
"Variances.p.A","0.9502***","0.2453","0.0001"
"Variances.p.R","0.9475***","0.2446","0.0001"
"Variances.p.D","0.9284***","0.2397","0.0001"
"Variances.p.axis1","0.8492***","0.2192","0.0001"
"Variances.p.axis2","0.9514***","0.2457","0.0001"
"Variances.p.axis3","0.9666***","0.2496","0.0001"
"p.abundance.WITH.p.axis3","0.5264**","0.1996","0.0084"
"p.richness.WITH.p.axis2","-0.2042","0.1773","0.2494"
"p.richness.WITH.p.axis3","0.4115*","0.1902","0.0305"
"p.diversity.WITH.p.axis1","0.0743","0.1627","0.6479"
"p.diversity.WITH.p.axis2","-0.0782","0.1722","0.6499"
"p.diversity.WITH.p.axis3","0.4045*","0.1881","0.0315"
"p.axis1.WITH.p.axis2","0.0592","0.1645","0.7187"
"p.axis1.WITH.p.axis3","-0.1604","0.1680","0.3396"
"p.axis2.WITH.p.axis3","-0.1125","0.1763","0.5234"
