"label","est_sig","se","pval"
"light.ON.crown","-0.05","0.20","0.80"
"litter.ON.crown","0.59***","0.17","0.00"
"light.ON.trunk","0.03","0.20","0.87"
"litter.ON.trunk","-0.17","0.17","0.31"
"rock.lg.ON.litter","-0.90***","0.08","0.00"
"rock.sm.ON.litter","-0.69***","0.13","0.00"
"rock.lg.WITH.rock.sm","-0.30***","0.08","0.00"
"l.A.ON.light","0.02","0.15","0.88"
"l.A.ON.rock.lg","0.50**","0.16","0.00"
"l.A.ON.rock.sm","0.08","0.16","0.63"
"l.R.ON.light","0.17","0.11","0.13"
"l.R.ON.rock.lg","0.75***","0.12","0.00"
"l.R.ON.rock.sm","-0.01","0.12","0.90"
"l.D.ON.light","0.20","0.12","0.10"
"l.D.ON.rock.lg","0.69***","0.13","0.00"
"l.D.ON.rock.sm","-0.01","0.13","0.94"
"rot.l.X1.ON.light","0.03","0.16","0.86"
"rot.l.X1.ON.rock.lg","0.42*","0.17","0.01"
"rot.l.X1.ON.rock.sm","0.14","0.17","0.41"
"rot.l.X2.ON.light","0.15","0.18","0.39"
"rot.l.X2.ON.rock.lg","-0.06","0.19","0.75"
"rot.l.X2.ON.rock.sm","0.12","0.19","0.51"
"l.A.WITH.l.R","0.23*","0.10","0.02"
"l.A.WITH.l.D","-0.03","0.10","0.73"
"l.R.WITH.l.D","0.30**","0.09","0.00"
"l.A.WITH.rot.l.X1","0.67***","0.18","0.00"
"l.R.WITH.rot.l.X1","0.24*","0.11","0.02"
"Variances.light","0.96***","0.25","0.00"
"Variances.litter","0.68***","0.18","0.00"
"Variances.rock.lg","0.18***","0.05","0.00"
"Variances.rock.sm","0.51***","0.13","0.00"
"Variances.l.A","0.69***","0.18","0.00"
"Variances.l.R","0.38***","0.10","0.00"
"Variances.l.D","0.43***","0.11","0.00"
"Variances.rot.l.X1","0.73***","0.19","0.00"
"Variances.rot.l.X2","0.92***","0.24","0.00"
"l.A.WITH.rot.l.X2","-0.11","0.15","0.47"
"l.R.WITH.rot.l.X2","0.10","0.11","0.38"
"l.D.WITH.rot.l.X1","-0.03","0.10","0.79"
"l.D.WITH.rot.l.X2","0.11","0.12","0.36"
"rot.l.X1.WITH.rot.l.X2","0.14","0.15","0.36"
"Variances.crown","0.97","0.00",NA
"crown.WITH.trunk","0.41","0.00",NA
"Variances.trunk","0.97","0.00",NA
