"label","est_sig","se","pval"
"light.ON.crown","-0.05","0.20","0.80"
"litter.ON.crown","0.51***","0.14","0.00"
"light.ON.trunk","0.03","0.20","0.87"
"litter.ON.trunk","-0.16","0.14","0.28"
"p.abundance.ON.light","-0.01","0.18","0.93"
"p.richness.ON.light","0.11","0.18","0.53"
"p.diversity.ON.light","-0.07","0.18","0.68"
"p.axis1.ON.light","0.18","0.17","0.29"
"p.axis2.ON.light","0.07","0.18","0.70"
"p.axis3.ON.light","0.04","0.18","0.84"
"p.abundance.WITH.p.axis2","-0.34","0.19","0.07"
"p.abundance.WITH.p.R","0.49*","0.20","0.01"
"p.abundance.WITH.p.D","0.41*","0.19","0.03"
"p.richness.WITH.p.D","0.82***","0.23","0.00"
"p.abundance.WITH.p.axis1","-0.66**","0.21","0.00"
"p.richness.WITH.p.axis1","-0.26","0.18","0.14"
"Variances.light","0.96***","0.25","0.00"
"Variances.litter","0.69***","0.18","0.00"
"Variances.p.A","0.97***","0.25","0.00"
"Variances.p.R","0.95***","0.25","0.00"
"Variances.p.D","0.96***","0.25","0.00"
"Variances.p.axis1","0.92***","0.24","0.00"
"Variances.p.axis2","0.96***","0.25","0.00"
"Variances.p.axis3","0.96***","0.25","0.00"
"litter.WITH.p.A","0.16","0.15","0.29"
"litter.WITH.p.R","-0.04","0.15","0.81"
"litter.WITH.p.D","0.13","0.15","0.40"
"litter.WITH.p.axis1","-0.24","0.15","0.11"
"litter.WITH.p.axis2","0.04","0.15","0.77"
"litter.WITH.p.axis3","-0.14","0.15","0.34"
"p.abundance.WITH.p.axis3","0.30","0.18","0.10"
"p.richness.WITH.p.axis2","-0.13","0.18","0.46"
"p.richness.WITH.p.axis3","0.32","0.18","0.09"
"p.diversity.WITH.p.axis1","-0.25","0.18","0.16"
"p.diversity.WITH.p.axis2","-0.00","0.18","0.99"
"p.diversity.WITH.p.axis3","0.31","0.18","0.10"
"p.axis1.WITH.p.axis2","-0.11","0.17","0.52"
"p.axis1.WITH.p.axis3","0.21","0.18","0.23"
"p.axis2.WITH.p.axis3","-0.18","0.18","0.31"
"Variances.crown","0.97","0.00",NA
"crown.WITH.trunk","0.41","0.00",NA
"Variances.trunk","0.97","0.00",NA
