"label","est_sig","se","pval"
"light.ON.crown","-0.05","0.20","0.80"
"litter.ON.crown","0.59***","0.17","0.00"
"light.ON.trunk","0.03","0.20","0.87"
"litter.ON.trunk","-0.17","0.17","0.31"
"rock.sm.ON.litter","-0.69***","0.13","0.00"
"p.A.ON.light","0.02","0.17","0.89"
"p.A.ON.rock.sm","-0.36*","0.17","0.03"
"p.R.ON.light","0.20","0.17","0.24"
"p.R.ON.rock.sm","-0.37*","0.17","0.03"
"p.D.ON.light","-0.01","0.16","0.94"
"p.D.ON.rock.sm","-0.44**","0.16","0.01"
"rot.p.X1.ON.light","0.14","0.16","0.37"
"rot.p.X1.ON.rock.sm","0.43**","0.16","0.01"
"rot.p.X2.ON.light","0.06","0.18","0.73"
"rot.p.X2.ON.rock.sm","-0.01","0.18","0.94"
"rot.p.X3.ON.light","0.07","0.18","0.70"
"rot.p.X3.ON.rock.sm","-0.01","0.18","0.94"
"p.A.WITH.rot.p.X2","-0.34","0.18","0.05"
"p.A.WITH.p.R","0.36*","0.17","0.03"
"p.A.WITH.p.D","0.26","0.16","0.09"
"p.R.WITH.p.D","0.67***","0.19","0.00"
"p.A.WITH.rot.p.X1","-0.51**","0.17","0.00"
"p.R.WITH.rot.p.X1","-0.12","0.14","0.42"
"Variances.light","0.96***","0.25","0.00"
"Variances.litter","0.68***","0.18","0.00"
"Variances.rock.sm","0.51***","0.13","0.00"
"Variances.p.A","0.84***","0.22","0.00"
"Variances.p.R","0.82***","0.21","0.00"
"Variances.p.D","0.78***","0.20","0.00"
"Variances.rot.p.X1","0.74***","0.19","0.00"
"Variances.rot.p.X2","0.96***","0.25","0.00"
"Variances.rot.p.X3","0.96***","0.25","0.00"
"p.A.WITH.rot.p.X3","0.30","0.17","0.08"
"p.R.WITH.rot.p.X2","-0.13","0.16","0.42"
"p.R.WITH.rot.p.X3","0.31","0.17","0.07"
"p.D.WITH.rot.p.X1","-0.07","0.14","0.63"
"p.D.WITH.rot.p.X2","-0.01","0.16","0.96"
"p.D.WITH.rot.p.X3","0.30","0.17","0.07"
"rot.p.X1.WITH.rot.p.X2","-0.11","0.16","0.49"
"rot.p.X1.WITH.rot.p.X3","0.21","0.16","0.18"
"rot.p.X2.WITH.rot.p.X3","-0.18","0.18","0.31"
"Variances.crown","0.97","0.00",NA
"crown.WITH.trunk","0.41","0.00",NA
"Variances.trunk","0.97","0.00",NA
